baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ADAMTS1	319.224879038138	2.13328268985821	0.413016187537876	5.16513094214394	2.40270660516292e-07	8.20054210892563e-06
ADAMTS12	113.476724582102	-3.26403999126861	0.562606919850434	-5.80163498901921	6.56713967393747e-09	4.09065227498498e-07
ADAMTS2	198.240531098661	-1.67783158141473	0.507689835538621	-3.30483587412121	0.00095032032685257	0.00602964805497388
ADAMTS6	80.8668300377379	-1.61310304297708	0.347872790518397	-4.63704861933366	3.53419302523881e-06	7.08342516973395e-05
ADAMTSL2	21.7467084963751	-2.46007480738155	0.630917343551408	-3.89920301371633	9.65098319988853e-05	0.00100789647165133
ADAMTSL3	48.7691907890125	1.58421140591864	0.403201850482952	3.92907771633758	8.52722798016846e-05	0.000912800995149851
ADAMTSL5	16.4813308947694	-1.07700724035616	0.417386719790343	-2.58035818891687	0.00986978838647481	0.0367096893658566
ADCY10	7.66169842147333	-1.55383953967339	0.614749504064177	-2.52759787425737	0.0114845808323135	0.0410488120293891
ADCY5	47.4634635842357	1.64912526415445	0.488627680140355	3.37501400592114	0.000738119342227661	0.00499742515844603
ADCY9	278.038139275682	1.15471873660739	0.196878292464465	5.86513994078756	4.48754057664175e-09	2.96192771959219e-07
ADCYAP1	16.6993698723968	1.88186041444978	0.745600953771812	2.52395118988235	0.0116044039670115	0.0413857213664495
ADH1B	388.551297995415	3.49797948406167	0.703147610891961	4.97474417871433	6.53338629253689e-07	1.84264966693705e-05
ADH1C	772.396782596814	3.25286777495725	0.728529539282808	4.4649771897506	8.00772827153018e-06	0.000136160289382336
ADHFE1	10.9876102666815	1.85240691503219	0.457603460614506	4.0480614210055	5.16435957385969e-05	0.000614245797799978
ADNP	1394.78158293324	-1.03378318131665	0.24270092560502	-4.25949418503275	2.04890028904293e-05	0.000288931747347072
ADORA3	31.3541836777865	2.09808121020167	0.578129470182315	3.62908538383285	0.000284427160813417	0.00237847978218854
ADRB2	14.6537955077811	1.20038234512804	0.43058185374458	2.78781452281105	0.00530649155336139	0.0228530099509285
AGAP9	66.3295417240298	-1.05606103947551	0.388917710318275	-2.71538428684893	0.00661989055958918	0.0270853399533713
AGMO	17.536047822728	-2.93239020314048	0.732055636604123	-4.00569308740429	6.18358968727649e-05	0.00070463001839691
AGPAT9	371.197533249458	2.53799620797596	0.412211787680947	6.15701996843521	7.41265057330538e-10	6.46547855560525e-08
AGR2	9213.8628961314	1.26897538084498	0.416213408307248	3.04885752240885	0.00229713398019738	0.012036328809915
AGRN	320.634919448829	-1.15006070277888	0.230766308412902	-4.98365948950014	6.23928396739671e-07	1.79189191990479e-05
AHCYL2	2438.84046314289	1.9892282100127	0.439600072919239	4.52508616935137	6.03709030043141e-06	0.000109224181747882
AHNAK2	347.338394413751	-1.81867050308104	0.671470371450755	-2.70848957810556	0.00675902349120124	0.0274203278583616
AJUBA	98.8371594287715	-1.83446825384179	0.377909245221365	-4.85425608671529	1.20839499065034e-06	3.02205685272377e-05
AKAP2	70.1711818864894	2.15292322468097	0.6401474512031	3.36316768993572	0.000770535429177591	0.00514888308185707
AKAP5	329.09643048605	1.10876721711846	0.444277423430157	2.49566410230332	0.0125721588221642	0.0440150158962289
AKR1B10	541.42965725481	2.86178380443896	0.70462895860197	4.06140532474982	4.87781991943013e-05	0.000589594486411872
ALDH4A1	44.8855846191898	-1.59663573069518	0.40387363236544	-3.95330519931167	7.70790193461689e-05	0.000839080541880868
ALDOB	120.529487082662	-2.96460364465467	0.615672469160195	-4.81522853977623	1.47031517178664e-06	3.50938401644345e-05
ALOX15B	9.75263189957286	1.81131385712568	0.680882669094587	2.66024373852003	0.00780841218296486	0.0306821090504153
ALPI	27.0900417703517	3.25754737815406	0.783826076114787	4.15595688561528	3.2392891114678e-05	0.000420562035960658
ALPK2	27.8986886469004	-2.05708420701642	0.565216904795812	-3.63945980660213	0.000273210576201619	0.00230200682273636
ALPK3	178.869283324421	-2.87583123783953	0.720390100022709	-3.99204713911098	6.55053468934691e-05	0.000739639627332252
AMICA1	185.872814143529	1.14074299736725	0.442790370161719	2.57625972522984	0.0099875593243031	0.0370404759192658
AMIGO2	92.3642393835902	-1.17488974647631	0.421698325596768	-2.78609061303163	0.00533479567104124	0.0229609085689347
AMN	82.9461090778384	1.84808031158471	0.295494632604958	6.25419248834676	3.99577940448201e-10	3.69592960847136e-08
AMOT	552.164036856591	-1.48372233239087	0.308819864538867	-4.80449123506475	1.55145496938465e-06	3.64456532761711e-05
AMPD1	32.7603079407303	2.97469205026402	0.647646913669191	4.59307685635548	4.36758116282975e-06	8.47718706466819e-05
AMPD2	209.820510293735	-1.08095816128258	0.225717950494964	-4.78897738931358	1.67633365751322e-06	3.88304829191178e-05
ANGPT2	137.712995344146	-1.23852296717443	0.297978319452787	-4.15641973365337	3.23273673938087e-05	0.000420403043579127
ANGPTL1	93.5134265963002	3.47900639099119	0.578127871683363	6.01771089302647	1.76900768387494e-09	1.31558308279752e-07
ANK2	172.229877298153	1.7785743983625	0.37153410820639	4.78710933687544	1.69200665272353e-06	3.91293846202675e-05
ANKMY1	54.9360552840974	-1.22391475426022	0.340441068970978	-3.59508551056909	0.00032428504568728	0.00262286645424228
ANKRD10	756.812150456768	-1.08244653677997	0.249332151247226	-4.34138369787163	1.41588218277333e-05	0.000214201447993438
ANKRD13B	38.9027581100656	-2.1339067335305	0.495708505881725	-4.3047611816442	1.67165969201367e-05	0.000244972360193796
ANKRD18A	168.515641294655	-1.59030598403455	0.427382930896615	-3.72103298720474	0.000198409516139361	0.0017986265349256
ANKRD23	30.6379198636311	-1.14854645226704	0.396146066270044	-2.89930040977385	0.00373996372145589	0.0174869911926445
ANKRD30A	17.9612384858587	-3.0637501343004	0.813770972417552	-3.76488009298071	0.000166629023617605	0.00158017993538038
ANKRD30B	121.730517439513	-3.02573924131358	0.589201794395741	-5.13531912172236	2.81665665775361e-07	9.2874430956517e-06
ANKRD31	10.7897580603644	-1.68004777053391	0.54956443780085	-3.05705328615664	0.00223524536329529	0.0118247910832506
ANKRD36	1758.57327699677	-1.04583267776089	0.360236508970176	-2.9031834689678	0.00369390166752655	0.0173117182627364
ANKRD36B	509.804750457562	-1.12523361275551	0.414399438919655	-2.71533575356427	0.00662086087749076	0.0270853399533713
ANLN	978.32153218577	-1.48930616306426	0.326938118152337	-4.55531515101681	5.23070962144816e-06	9.82436436718971e-05
ANO5	104.019337623111	1.90480254188613	0.56613081838852	3.36459786327852	0.000766552941001721	0.00513753754355355
ANPEP	724.43327814752	2.91976605776879	0.513512624443512	5.68587006197347	1.30148326448537e-08	7.18357754967902e-07
ANXA9	11.4875652550956	-3.00543325875459	0.582308881165131	-5.16123548165893	2.45325352338271e-07	8.31196999075241e-06
AOC3	89.1917591075484	1.36324542835591	0.411599868574144	3.31206478048313	0.000926100985127918	0.0059104818969546
AOX1	29.9872074408159	1.92351981469608	0.455094687903019	4.22663649087899	2.37210408087964e-05	0.00032384377452009
APBA1	105.905111662257	1.27351777224098	0.443431160112204	2.87196274596205	0.00407931053676529	0.0187084251491378
